ID;Apellido 1;Apellido 2;Nombre;Sexo;dblpperson name;dblp author key;Grupo;Universidad/Centro;Region;Empresa;Centro;Foreigner;Email(s);responsable;Corresponsal;Junta Dir.;Antiguedad;ACTIVO?;reciente;Valencia10;Almeria 12;Madrid 13;Cadiz 14;Santander 15;Salamanca 16;Tenerife 2017;;;;;;;;;;;;;;
SN00077;App1_67;App2_67;Nombre_67;M;Nombre_67 App1_67;homepages/Nombre_67App1_67;;UCA;Andalucia;;;;email_67;;;;2010;Sí;2016;2010;;;2014;;2016;;;;;;;;;;;;;;;
SN00078;App1_68;App2_68;Nombre_68;M;Nombre_68 App1_68;homepages/Nombre_68App1_68;;UCM;C. Madrid;;;;email_68;;;;2012;Sí;2015;;2012;;2014;2015;;;;;;;;;;;;;;;;
SN00079;App1_224;App2_224;Nombre_224;V;Nombre_224 App1_224;homepages/Nombre_224App1_224;;INDRA;C. Madrid;Si;;;email_224;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00080;App1_225;App2_225;Nombre_225;V;Nombre_225 App1_225;homepages/Nombre_225App1_225;;UNEX;Extremadura;;;;email_225;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00081;App1_226;App2_226;Nombre_226;V;Nombre_226 App1_226;homepages/Nombre_226App1_226;;UCLM;Castilla-La Mancha;;;;email_226;;;;2014;Sí;2017;;;;2014;;2016;2017;;;;;;;;;;;;;;
SN00082;App1_227;App2_227;Nombre_227;V;Nombre_227 App1_227;homepages/Nombre_227App1_227;;US;Andalucia;;;;email_227;;;;2014;Sí;2017;;;;2014;;2016;2017;;;;;;;;;;;;;;
SN00083;App1_228;App2_228;Nombre_228;V;Nombre_228 App1_228;homepages/Nombre_228App1_228;;UPV;C. Valenciana;;;;email_228;;;;2010;;2014;2010;;;2014;;;;;;;;;;;;;;;;;
SN00084;App1_229;App2_229;Nombre_229;V;Nombre_229 App1_229;homepages/Nombre_229App1_229;;UNIRIOJA;Rioja;;;;email_229;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00085;App1_230;App2_230;Nombre_230;V;Nombre_230 App1_230;homepages/Nombre_230App1_230;;UM;Murcia;;;;email_230;;;;2014;Sí;2017;;;;2014;;2016;2017;;;;;;;;;;;;;;
SN00086;App1_69;App2_69;Nombre_69;M;Nombre_69 App1_69;homepages/Nombre_69App1_69;;UCA;Andalucia;;;;email_69;;;;2014;Sí;2016;;;;2014;;2016;;;;;;;;;;;;;;;
SN00087;App1_11;App2_11;Nombre_11;M;Nombre_11 App1_11;homepages/Nombre_11App1_11;LBD;UDC;Galicia;;;;email_11;;Sí;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00088;App1_231;App2_231;Nombre_231;V;Nombre_231 App1_231;homepages/Nombre_231App1_231;;UEMC;C. Madrid;;;;email_231;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00089;App1_232;App2_232;Nombre_232;V;Nombre_232 App1_232;homepages/Nombre_232App1_232;;URJC;C. Madrid;;;;email_232;;;;2012;;2014;;2012;2013;2014;;;;;;;;;;;;;;;;;
SN00090;App1_233;App2_233;Nombre_233;V;Nombre_233 App1_233;homepages/Nombre_233App1_233;;UNEX;Extremadura;;;;email_233;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
SN00091;App1_234;App2_234;Nombre_234;V;Nombre_234 App1_234;homepages/Nombre_234App1_234;;UCM;C. Madrid;;;;email_234;;;;2010;;2014;2010;;;2014;;;;;;;;;;;;;;;;;
SN00092;App1_70;App2_70;Nombre_70;M;Nombre_70 App1_70;homepages/Nombre_70App1_70;UCASE;UCA;Andalucia;;;;email_70;Sí;;;2010;Sí;2017;2010;2012;2013;2014;;2016;2017;;;;;;;;;;;;;;
SN00093;App1_235;App2_235;Nombre_235;V;Nombre_235 App1_235;homepages/Nombre_235App1_235;;US;Andalucia;;;;email_235;;;;2014;Sí;2017;;;;2014;;;2017;;;;;;;;;;;;;;
SN00094;App1_236;App2_236;Nombre_236;V;Nombre_236 App1_236;homepages/Nombre_236App1_236;;UAM;C. Madrid;;;;email_236;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00095;App1_237;App2_237;Nombre_237;V;Nombre_237 App1_237;homepages/Nombre_237App1_237;;UNEX;Extremadura;;;;email_237;;;;2012;;2014;;2012;2013;2014;;;;;;;;;;;;;;;;;
SN00096;App1_238;App2_238;Nombre_238;V;Nombre_238 App1_238;homepages/Nombre_238App1_238;;UMA;Andalucia;;;;email_238;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
SN00097;App1_239;App2_239;Nombre_239;V;Nombre_239 App1_239;homepages/Nombre_239App1_239;;UA;C. Valenciana;;;;email_239;;;;2014;;2014;;;;2014;;;;;;;;;;;;;;;;;
SN00098;App1_240;App2_240;Nombre_240;V;Nombre_240 App1_240;homepages/Nombre_240App1_240;;UPC;Cataluña;;;;email_240;;;;2014;Sí;2016;;;;2014;;2016;;;;;;;;;;;;;;;
SN00099;App1_71;App2_71;Nombre_71;M;Nombre_71 App1_71;homepages/Nombre_71App1_71;;UCA;Andalucia;;;;email_71;;;;2010;Sí;2016;2010;2012;2013;2014;;2016;;;;;;;;;;;;;;;
SN00100;App1_72;App2_72;Nombre_72;M;Nombre_72 App1_72;homepages/Nombre_72App1_72;;UMA;Andalucia;;;;email_72;;;;2010;Sí;2017;2010;2012;2013;2014;;;2017;;;;;;;;;;;;;;
SN00101;App1_241;App2_241;Nombre_241;V;Nombre_241 App1_241;homepages/Nombre_241App1_241;;UDC;Galicia;;;;email_241;;;;2014;Sí;2016;;;;2014;2015;2016;;;;;;;;;;;;;;;
SN00102;App1_73;App2_73;Nombre_73;M;Nombre_73 App1_73;homepages/Nombre_73App1_73;;US;Andalucia;;;;email_73;;;;2013;;2014;;;2013;2014;;;;;;;;;;;;;;;;;
